movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Dragonheart,"A boy and his dragon unite to fight evil in this fantasy. Bowen (Dennis Quaid), a Knight of The Old Code in Medieval times, is summoned by Aislinn the Queen (Julie Christie) to the bedside of her son, Einon, who is also Bowen's student. Einon has been wounded and is near death; with his heart about to give out, Bowen calls upon Draco (voice of Sean Connery), the mightiest dragon in the land, asking for a sliver of his mighty heart so that the boy might survive. Draco makes Bowen pledge that when Enion grows to adulthood and becomes king, he will rule with fairness and compassion before the beast will donate a piece of his heart. Einon agrees to the pledge, but years later, the adult Einon (David Thewlis) has become a cruel despot, in no way good on his promises. Bowen, angry at Einon's betrayal, is convinced that the dragon is somehow responsible and goes on a spree, killing the mammoth reptiles at a fevered pace. However, when Bowen once again encounters Draco, the dragon convinces him that a dragon-slayer who has killed the last dragon also puts himself out of a job; Draco and Bowen work out a business arrangement, where the monster ""attacks"" villages and Bowen is paid to ""kill"" him. In time, however, Draco and Bowen realize that they must set aside their lucrative business in order to challenge the authority of the evil ruler. Draco the Dragon was the first fully-computer animated character to have a speaking part along side flesh and blood actors in a film; Sean Connery's recording sessions as the voice of Draco were recorded on video as well as audio tape, so that his facial expressions and mouth movements could be adapted to the character. ~ Mark Deming, Rovi","Dragonheart gives us medieval action, a splendidly mulleted Dennis Quaid, and Sean Connery as a talking dragon -- and, unfortunately, a story that largely fails to engage.",PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy",Rob Cohen,"Charles Edward Pogue, Charles E. Pogue, Patrick Read Johnson","Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer, Julie Christie, Jason Isaacs, Brian Thompson, John Gielgud, Terry O'Neill, Lee Oakes, Wolf Christian, Peter Hric, Sean Connery, Eva Vejmelkova, Milan Bahul, Sandra Kovacicova, Kyle Cohen, Thom Baker",1996-05-31,1998-02-24,108,MCA Universal Home Video,Rotten,50,30,60,326573
The Evil of Frankenstein,"Hardly the best of Hammer Studios' Frankenstein epics, The Evil of Frankenstein is too much the mixture as before to be truly memorable. Back in business once more is Baron Frankenstein (Peter Cushing), who finds his fabled monster (Kiwi Kingston) frozen in a block of ice. Once the creature is thawed out, the Baron, worried that the big lug might develop a mind of his own, engages the services of a hypnotist (Peter Woodthorpe). Instead of keeping the monster docile, the hypnotist decides to use old ""Frankie"" for his own evil designs, and we're off and running again. At 84 minutes, Evil of Frankenstein was too short for a two-hour network TV slot, so Universal (the film's American distributor) tacked on 13 minutes of pointless additional footage, featuring timorous villagers Steven Geray, Maria Palmer and William Phipps. The film was followed by a vastly superior sequel, Frankenstein Created Woman.",,PG-13,"Classics, Horror, Science Fiction & Fantasy",Freddie Francis,"Anthony Hinds, John Elder","Peter Cushing, Kiwi Kingston, Peter Woodthorpe, Sandor Elès, Katy Wild, David Hutcheson, Duncan Lamont, James Maxwell, Caron Gardner, Howard Goorney, Timothy Bateson, Alister Williamson, Tony Arpino, Frank Forsyth, Kenneth Cove, Michelle Scott, Anthony Blackshaw, David Conville, Steven Geray, William Phipps, Maria Palmer, Tracy Stratford, Patrick Horgan, Derek Martin, Robert Flynn, Anthony Poole, James Garfield",1964-05-08,2000-07-25,84,MCA Universal Home Video,Rotten,57,7,36,1040
Fierce Creatures,"In this satirical and sexy film, New Zealand publishing-magnate Vince McCain has just purchased Marwood Zoo. When the zoo turns out to be relatively unprofitable, Rollo Lee is sent to carry out a number of ridiculous schemes to turn it into a money-making attraction.","Fierce Creatures reunites A Fish Called Wanda's talented ensemble for a comedy that, while not without its moments, suffers from diminishing returns.",PG-13,Comedy,"Robert Young, Fred Schepisi","John Cleese, Iain Johnstone","John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin, Ronnie Corbett, Carey Lowell, Robert Lindsay, Bille Brown, Billie Brown, Derek Griffiths, Cynthia Cleese, Richard Ridings, Maria Aitken, Michael Percival, Fred Evans, Lisa Hogan, Choy-Ling Man, Tim Potter, Jenny Galloway, Kim Vithana, Sean Francis, Shawn Francis, Julie Saunders, Susie Blake, Pat Keen, Denis Lill, Gareth Hunt, Dennis Lill, Ron Donachie, Paul Haigh, Leon Herbert, Stewart Wright, Kerry Shale, Mac MacDonald, Amanda Walker, Terence Conoley, Tom Georgeson, John Bardon, Anthony Pedley, Jennie Goossens, Georgia Reece, Hilary Gish, Kenneth Price, Brian King, Peter Silverleaf, Kevin Moore, Leslie Lowe, Iain Mitchell, Valerie Edmond, Nick Bartlett, Ricco Ross, Nicholas Hutchison, Kate Harper, Nicholas Hutchinson, Kate Alderton, Jack Davenport, Jo Ann Geary, William Grove, Francis Pope, Jacqui Thomas, David Wood, John Alexander, Peter Elliott, Tessa Crockett, Phillip Hill, Holly Hoffman, Tina Masskell, Mario Kalli, Tina Maskell, Alisa Berk, Elizabeth O'Brien, Ailsa Berk, Tim Rose, Darryl Worbey, William Todd Jones, Steve A. Clarke, Jerry Goldsmith",1997-01-24,1998-01-20,93,MCA Universal Home Video,Rotten,53,32,58,14829
Greedy,"This comedy-drama follows the exploits of a family of vultures waiting for wealthy uncle to die. Uncle Joe McTeague though wheelchair bound, is mean, manipulative, fussy, and unpleasant. He is however, filthy rich. He is surrounded by three obsequious relatives who do everything they can to get on the heirless Joe's good side. They outwardly adore him bringing him stuffed birds, compliment him; they have even named their children for him. But the truth is, they hate his guts and he knows it. They don't like each other much either. They are united only by their love of his money. When they discover that he has hired a ravishing young woman to be his ""nurse,"" they are panic stricken that she will get the inheritance. Together they hatch a plan. They will find his estranged favorite nephew Daniel McTeague Jr., son of Joe's left-wing brother. Daniel is best remembered for his cutesy imitations of Jimmy Durante. Daniel the man is now a struggling pro-bowler with an arthritic wrist. All he really wants is to open his own bowling alley, but he too becomes intoxicated by greed.",,PG-13,Comedy,Jonathan Lynn,"Lowell Ganz, Babaloo Mandel","Kirk Douglas, Michael J. Fox, Nancy Travis, Olivia d'Abo, Phil Hartman, Ed Begley Jr., Jere Burns, Colleen Camp, Bob Balaban, Joyce Hyser, Mary Ellen Trainor, Siobhan Fallon Hogan, Karen Rea, Kevin McCarthy, Khandi Alexander, Jonathan Lynn, Francis X. McCarthy, Tom Mason, Austin Pendleton, Lowell Ganz, Bea Soong, Beau Byron, Ronnie Prettyman, Sean Babb, Adam Hendershott, Eric Lloyd, Kirsten Dunst, Lisa Bradley, Rita Gomez, John Lafayette, Rich Barretta, Vince Morton, Chris Schenkel",1994-03-04,1998-12-15,113,MCA Universal Home Video,Rotten,28,18,48,7817
How to Make an American Quilt,"In this tender film, a group of women instruct a nervous bride with lessons from their own lives. Finn Dodd has returned to her hometown to escape her wedding preparations and write her thesis. While her friends and relations patiently stitch Finn's wedding quilt, each of them tells a story.","How to Make an American Quilt is a bit of a patchwork from a storytelling standpoint, but a strong ensemble cast led by Winona Ryder helps hold it all together.",PG-13,"Comedy, Drama",Jocelyn Moorhouse,Jane Anderson,"Winona Ryder, Ellen Burstyn, Anne Bancroft, Maya Angelou, Samantha Mathis, Kate Nelligan, Jean Simmons, Lois Smith, Alfre Woodard, Kate Capshaw, Adam Baldwin, Dermot Mulroney, Rip Torn, Claire Danes, Esther Rolle, Derrick O'Connor, Johnathon Schaech, Loren Dean, Mykelti Williamson, Melinda Dillon, Joanna Going, Tim Guinee, Richard Jenkins, Alicia Goranson, Maria Celedonio, Debra Stricklin, Denis Arndt, Matt Zusser, Ari Meyers, Kaela Green, Jared Leto, Holland Taylor, Gail Strickland, Jane Alden, Will Nipper, David Williams, Tamala Jones, James Rebhorn, Harvey E. Lee Jr., Debra Sticklin, Charles Parks, Will Estes, Jonah Rooney, Kaelyn Craddick, Sara Craddick, Rae'Ven Larrymore Kelly, Brian McElroy, Michael McElroy, Paige Kettner, Ryanne Kettner, Annie Mae Hunter, Krysten Lee Wilson, Kellie Lynn Wilson",1995-10-06,1999-02-23,117,MCA Universal Home Video,Fresh,61,33,63,11383
K-9,"James Belushi stars in this cop actioner about a loner narcotics officer who has to break in a new partner. The twist here is that the new partner is barely housebroken, but he's still sharp and keeps his nose close to the ground. Dooley (Belushi), who works on the San Diego narc squad, is an eccentric guy who has pizzas delivered to his car and likes a good steak. He is working on a stakeout of a local drug dealer when he barely escapes with his life as a helicopter blows up his car. When he asks the department for a new car, they give him a new partner instead --a police dog called Jerry Lee (Jerry Lee the Dog). Jerry's good at sniffing out the criminals but Dooley doesn't really hit it off with his new partner until the pooch saves his life.",,PG-13,"Action & Adventure, Comedy",Rod Daniel,"Steven Siegel, Scott Myers, Steve Siegel","Jim Belushi, Mel Harris, Kevin Tighe, Ed O'Neill, James Handy, Jerry Lee, Cotter Smith, Daniel Davis, John Snyder, Pruitt Taylor Vince, Judith Weiner, Sherman Howard, Jeff Allin, Bob Ari, Alan Blumenfeld, William Sadler, Marjorie Bransfield, Mark Mooring, David Haskell, Jerry Levine, Rick Cicetti, Marjorie Bransfeld, Dan Castellaneta, Wendel Meldrum, John Castellanos, Coleen Morris, McKeiver Jones III, J.W. Smith, Colleen Morris, Dean Hill, Gary Combs, Lucy Butler",1989-06-01,1999-06-08,102,MCA Universal Home Video,Rotten,22,9,44,53102
Kindergarten Cop,"Arnold Schwarzenegger sheds his action image in Ivan Reitman's police comedy Kindergarten Cop, where he plays an undercover cop teaching a class of hyperactive six-year-olds. As the film begins, John Kimble (Schwarzenegger) and his partner Phoebe O'Hara (Pamela Reed) are in pursuit of notorious drug dealer Cullen Crisp (Richard Tyson) and his scabrous mother Eleanor (Carroll Baker). John learns Cullen is searching for his ex-wife and his little boy, and Kimble plans to nail them when they find the former wife, who is believed to have $3 million of Cullen's drug profits. John and Phoebe follow the trail to Astoria, Oregon, where they believe Cullen's son is attending kindergarten. Although the child and his mother have changed names, John hopes they can pick up some clues. By coincidence, Phoebe used to be a schoolteacher and the school board permits her teach the kindergarten class, but Phoebe gets food poisoning and John is forced to teach the six-year-old whippersnappers himself. Along with lighthearted gags with the kids and the pursuit of the drug dealers, John has time for a little romance when he falls in love with one of the teachers (Penelope Ann Miller), who ends up surprising him with more than love. ~ Paul Brenner, Rovi",,PG-13,"Action & Adventure, Comedy, Cult Movies, Mystery & Suspense",Ivan Reitman,"Murray Salem, Herschel Weingrod, Timothy Harris","Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt, Richard Tyson, Carroll Baker, Cathy Moriarty, Park Overall, Jayne Brook, Joseph Cousins, Christian Cousins, Richard Portnow, Tom Kurlander, Alix Koromzay, Betty Lou Henson, Heidi Swedberg, Justin Page, Peter Rakow, Sarah Rose Karr (II), Marissa Rosen, Ben McCreary, Miko Hughes, Robert Cave, Ben Diskin, Tameka Runnels, Medha Garg, Brian Wagner, John Christian Graas, Jim Jim Jackson, Ian Baumer, Amy Wald, Tiffany Materas, Krystle Materas, James Chance, Adam Wylie, Nicole Nagorsky, Ross Malinger, Amber Reaves, Odette Annable, Tina Hart, Emily Ann Lloyd, Haley Urman, Bethany Jaye Allyn, Zachary March, Anthony Wong, Peter Mark Vasquez, Remone Bradley, Stephen Root, Leo Lee, Robert Nelson, Molly Cleator, Gary Hollis, Susan Burns, Tom Dugan, Roma, Jason Stuart, John Hammil, Kim Delgado, Ray Glanzmann, Rick Jones, Ed Crick, Tiffany Reaves, Jason Reitman",1990-12-21,1998-01-20,111,MCA Universal Home Video,Rotten,50,36,51,328635
Kuffs,"After learning that his girlfriend is pregnant, free spirit George Kuffs (Christian Slater) abandons her to become a cop; after his brother is killed in the line of duty, Kuffs vows to avenge his death.",,PG-13,"Action & Adventure, Comedy",Bruce A. Evans,"Raynold Gideon, Bruce A. Evans, Gideon Ray","Christian Slater, Tony Goldwyn, Milla Jovovich, Bruce Boxleitner, George De La Pena, Troy Evans, Lu Leonard, Leon Rippy, Ric Waugh, Steve Holladay, Chad Randall, Clarke Coleman, Craig Benton, Ashley Judd, Sally Dennison, Joshua Cadman, Mary Ellen Trainor, Aki Aleong, Stephen Park, Henry G. Sanders, Keith Polk, Dom Magwili, Julie Selzer, Fr. Kevin Leidich, E. Keith Polk, Susan Schelling, Loren Blackwell, Kim Robillard, Gary Munch, Don Schlossman, Henry Sanders, Janis Uhley, Roger Rook, Don S. Davis, Phil Mishkin, Jon Greene, Steve Park, Julie Strain, Zona Jaguar, Erik Rondell, Ross Partridge, John Apicella, Megan Derry, Ryan Cutrona, Scott Williamson, Dennis Holahan, Patricia J. Earnest, Tim A. Davison, Thunder, Joe Hart, Kenny Endoso, Al Goto, Allan A. Apone, Willie Leong, Karen D'Ettore, Kelly D'Ettore, Alexandra Paul",1992-01-10,2003-08-12,102,MCA Universal Home Video,Rotten,28,18,47,10335
Lorenzo's Oil,"Director George Miller's fact-based drama stars Nick Nolte and Susan Sarandon as Augusto and Michaela Odone, the parents of a boy (Zack O'Malley Greenburg) diagnosed with ALD (adrenolenkodystrophy), a rare degenerative disease with fatal results. Refusing to accept the death sentence the doctors have handed young Lorenzo, the Odones devote every ounce of their being to finding a breakthrough to battle the disease.",,PG-13,Drama,,Nick Enright,"Nick Nolte, Susan Sarandon, Peter Ustinov, Kathleen Wilhoite, Gerry Bamman, Margo Martindale, James Rebhorn, Ann Hearn, Maduka Steady, Mary Wakio, Zack O'Malley Greenburg, Don Suddaby, Colin Ward, LaTanya Richardson, Jennifer Dundas, William Cameron, Becky Ann Baker, Mary Pat Gleason, David Shiner, Ann Dowd, Peter Mackenzie, Paul Lazar, John Lyons, Laura Linney, Helena Ruoti, Luis Ruiz, Joyce Reehling, Barbara Poitier, Mary Schmidt Campbell, Michael O'Neill, La Tanya Richardson, Ann McDonough, Elizabeth Daily, Lianne Kressin, Nicolas Petrov, Richard Cordery, Angus Barnett, Keiko McDonald, Vladimir Padunov, David McFadden, Carmen Piccini, Aaron Jackson, William Thunhurst Jr., Noah Banks, Michael Haider, Cristin Woodworth, Billy Amman, E.G. Daily, Sandy Gore, Rocco Sisto, April Merscher, Neri Kyle Tannenbaum, Nora Dunfee, Brad Einhorn, Amelia Campbell, Keith Reddin, Eliot Brinton, Ayub Ommaya, Ryonosuke Shiono, James Merrill, Marie Nugent-Head, Zahra Ilkanipour, Nancy Chesney, John Mowod, Berta Van Zuiden, Susan Chapek, Shirley Tannenbaum, Charles R. Altman, Anthony DiLeo Jr., Nona Gerard, David Doepken, Kathryn Aronson, Lamont Arnold, Julie Marie Remele, Anthony di Leo Jr., Annie Loeffler, Lisa Montgomery, Raina Clifford, Todd Bella, Rachel Jones, Matthew Pyeritz, Daniel W. D'Arcy, Justin Isfeld, Jeremy Beyer, Christine Merriman, Nicholas Wiese, Tia Delaney, Lamar Olivis, Ryan Thomas, Connie Cranden, C. Alex Roberts, Mack Hegyes, Eric Kunkle",1992-12-30,2004-04-06,136,MCA Universal Home Video,Fresh,92,38,80,15245
Major Payne,"Hawk-like Marine Corps officer Benson Payne (Damon Wayans) attempts to whip into shape the usual assortment of misfit JROTC kids in this minor remake of The Private War of Major Benson. Of course, both the major and his pint-sized recruits have something to teach one another. Payne teaches them the value of self-discipline and instills self-confidence in them, and the recruits teach him to stop and smell the roses (not to mention the fact that kids sometimes need coddling rather than screaming). And, of course, there is the annual JROTC statewide competition, which the kids are obligated to win before the movie can end. While there are some funny moments (the major's exhibition in full-dress whites at a school dance, for example), the script seems too color-by-numbers to be interesting to anyone other than undiscriminating younger viewers.",,PG-13,Comedy,Nick Castle Jr.,"Damon Wayans, Dean Lorey, Gary Rosen","Damon Wayans, Karyn Parsons, Bill Hickey, William Hickey, Michael Ironside, Albert Hall, Steven Martini, Orlando Brown, Steve Martini, Andrew Harrison Leeds, Joda Blare-Hershman, R. Stephen Wiles, Rodney P. Barnes, Ross Bickell, Carolyn Walker, Scott 'Bam Bam' Bigelow, Peyton Chesson Fohl, Stephen Coleman, Mark Conway, David DeHart, Joshua Todd Diveley, Robert Faraoni Jr., Michael Gabel, RJ Knoll, Dean Lorey, Mark W. Madison, Brad Martin, Chris Owen, Seymour Swan, Leonard Thomas, Hechter Ubarry, Carolyn L.A. Walker, Tommy Wiles, Chris Williams (XII), Al Cerullo, John Louis Fischer",1994-06-01,1999-01-05,97,MCA Universal Home Video,Rotten,33,12,68,162790
Moon over Parador,"While working in a small nation on the Caribbean, an American actor (Richard Dreyfuss) is convinced by the chief of police (Raul Julia) to impersonate the nation's dictator who has recently passed away. The actor really begins to enjoy the role after a while, thanks in part to the dictator's mistress (Sonia Braga).",,PG-13,Comedy,Paul Mazursky,"Paul Mazursky, Leon Capetanos","Richard Dreyfuss, Raul Julia, Sonia Braga, Jonathan Winters, Fernando Rey, Sammy Davis Jr., Michael Greene, Polly Holliday, Milton Gonçalves, Charo, Marianne Sägebrecht, Reinhard Kolldehoff, Richard Russell Ramos, José Lewgoy, Dann Florek, Roger Aaron Brown, Dana Delany, Dick Cavett, Ike Pappas, Edward Asner, Carlotta Gerson, Lorin Dreyfuss, Nika Bonfim, John C. Broderick, David Cale, Catalano, Reuven Bar-Yotam, Rod McCary, Neville de Almeida, Lora Milligan, Jill Mazurzky Cody, Nina Fineman, Regina Casé, Helio Souto, Bianca Rossini, Ariel Coelho, Guilherme Karan, Vera Buono, Ursula Cantu, Guará Rodrigues, Giovanna Gold, Carlos Augusto Strasser, Betsy Mazursky, Rui Resende, Flávio R. Tambellini, Nelson Xavier, Mario Guimaraes, Nildo Parente, Jorge Cherques, Renato Coutinho, Patricio Guzmán, Lutero Luiz",1988-09-09,2004-08-03,104,MCA Universal Home Video,Rotten,42,12,46,2667
Mr. Baseball,"A former American baseball star, now considered a has-been, is signed to play for a Japanese league in this comedy. Cultures clash as the player at first fails to take his new teammates seriously, but he soon finds his love of the game rejuvenated by their fresh perspective.",,PG-13,Comedy,Fred Schepisi,"Gary Ross, Kevin Wade, Monte Merrick, Ed Solomon, Peter S. Seaman, Jeffrey Price","Tom Selleck, Ken Takakura, Aya Takanashi, Ava Takanashi, Dennis Haysbert, Toshi Shioya, Kohsuke Toyohara, Toshizo Fujiwara, Mak Takano, Kenji Morinaga, Joh Nishimura, Lesly Leon Lee, Norihide Goto, Dianne Crittenden, Kensuke Toita, Naoki Fujii, Takanobu Hozumi, Jun Hamamura, Mineko Yorozuyo, Shoji Ohoki, Tomoko Fujita, Kinzoh Sakura, Bradley Jay ""Animal"" Lesley, Ikuko Saitoh, Hikari Takano, Tim McCarver, Sean McDonough, Art LaFleur, Greg Goossen, Nicholas Cascone, Larry Pennell, Scott Plank, Charles Joseph Fick, Michael McGrady, Frank Thomas, Michael Papajohn, Roland Rodriquez, Rolando Rodriquez, Todd A. Provence, Frank Mendoza, Kinzo Sakura, Ken Medlock, Carrie Yazel, Mary Kohnert, Michigo Washizukan, Makoto Kuno, Michiyo Washizukan, Shinsuke Aoki, Rinzoh Suzuki, Shintaro Mizushima, Nobuyuki Kariya, Satoshi Jinbo, Masanao Matsuzaki, Shotaro Kusumi, Katsushi Yamaguchi, Hiro Nagae, Yoshimi Imai, Cin Chi Cheng, Makoto Kaketa, Shogo Nakajima, Yoshiya Morita, Takao Ito, Hidetaka Hoshino, Kazuhiko Migita, Tsukumo Torisaka, Kazukuni Mutoh, Hiroshi Masumoto, Tomohisa Shoji, Fumio Kubo, Yasunori Itoh, Nobuhiko Matsunami, Masahiro Nakane, Toshikatsu Ida, Shinichiro Miura, Yoshio Fukazawa, Kenji Anzai, Masato Ohsumi, Youichi Monda, Shinya Kagimoto, Hirokazu Nagano, Kazuo Asahi, Yuji Inoue",1992-10-02,1998-01-01,109,MCA Universal Home Video,Rotten,13,16,40,9418
Mystery Science Theater 3000: The Movie,"In this film, based on the television series, Evil Dr. Forreseter plans to take over the Earth by subjecting people to an endless barrage of bad 1950s sci-fi films. Test subjects Mike Nelson and his robots are not easily brainwashed and fight back by making wiseacre remarks throughout the film.","Mystery Science Theater 3000: The Movie may be thin and uneven, but it's hilarious in enough of the right spots to do the show's big-screen transition justice.",PG-13,"Comedy, Science Fiction & Fantasy, Special Interest",Jim Mallon,"Michael J. Nelson, Mary Jo Pehl, Bridget Jones, Jim Mallon, Kevin Murphy, Trace Beaulieu, Paul Chaplin","Michael J. Nelson, Trace Beaulieu, Jim Mallon, John Brady, Kevin Murphy, John E. Brady",1996-04-19,2000-10-10,75,MCA Universal Home Video,Certified Fresh,80,55,88,26925
Opportunity Knocks,"This comedy marks the feature-film debut of veteran Saturday Night Live comedian Dana Carvey as it tells the story of a con-man who gets into big trouble with a gangster. In order to hide, he ends up house-sitting for a prominent manufacturer of bathroom fixtures.",,PG-13,"Comedy, Romance",Donald Petrie,"Nat Bernstein, Mitchel Katlin","Dana Carvey, Robert Loggia, Todd Graff, Julia Campbell, Milo O'Shea, James Tolkan, Doris Belack, Sally Gracie, Mike Bacarella, John M. Watson Sr., Beatrice Fredman, Thomas McElroy, Jack McLaughlin-Gray, Gene Honda, Del Close, Michael Oppenheimer, Paul Greatbatch, Sarajane Avidon, Jed Mills, Mindy Suzanne Bell, Michelle Johnston, Richard Steven Mann, Bill Bradshaw, John Cothran Jr., Kent Logsdon, Pennington McGee, Tal Galomb, James Hassett, Mark D. Hutter, Ron Max, Joshua Livingstone, Jill Shellabarger, Adam Jason Weiss, Lorna Raver, Michelle Quigley, Judith Scott, Mark Ross, Rebecca Cagen, Don Cagen, Paul Dallas, Randy Harrah, Peter Hennes, Steven Zoloto",1990-03-30,2003-06-03,102,MCA Universal Home Video,Rotten,13,8,47,3982
Parenthood,"This feel-good ensemble comedy tracks a quartet of suburban siblings and their families over the course of a single summer. Hardworking Gil Buckman (Steve Martin) and his stay-at-home wife, Karen (Mary Steeenburgen), have just a few months to help their oldest son, Kevin (Jasen Fisher), overcome his high-strung behavior problems before he'll be relegated to special-education classes. Gil's difficult relationship with his own father, Frank (Jason Robards), has led him to become a would-be super-dad for his three kids, so he takes his son's difficulties more than a little personally. Gil's sister, Helen (Dianne Wiest), is trying to raise a moody, adolescent son (Leaf Phoenix) and an independent-minded daughter (Martha Plimpton) with no help from her well-off ex-husband, who's more interested in his new wife and family. Gil and Helen's sister, Susan (Harley Jane Kozak), meanwhile, must participate in the too-scripted Big Life Plans of her anal-retentive husband, Nathan (Rick Moranis), whose overachiever zeal infects even their toddler daughter. When long-lost brother Larry (Tom Hulce) show up with yet another get-rich-quick scheme, he brings with him a surprise addition to the family. Screenwriters Babaloo Mandel, Lowell Ganz, and Ron Howard negotiate their varied subplots with a deftness and comedic touch that transforms this conflicted clan into a suburban everyfamily. ~ Brian J. Dillard, Rovi","Bolstered by a delightful cast, Parenthood is a funny and thoughtfully crafted look at the best and worst moments of family life that resonates broadly.",PG-13,Comedy,Ron Howard,"Lowell Ganz, Babaloo Mandel, Ron Howard","Steve Martin, Mary Steenburgen, Dianne Wiest, Jason Robards, Rick Moranis, Tom Hulce, Martha Plimpton, Keanu Reeves, Harley Jane Kozak, Dennis Dugan, Joaquin Phoenix, Eileen Ryan, Helen Shaw, Jasen Fisher, Paul Linke, Alisan Porter, Janet Hirshenson, Zachary Lavoy, Jane Jenkins, Ivyann Schwan, Alex Burrall, Lowell Ganz, Rance Howard, Max Elliott Slade, Clint Howard, Lamont Lofton, Erika Rafuls, Jordan Kessler, Billy Cohen, Isabel Cooley, Greg Gerard, Paul Keeley, Walter von Bonhorst, W. Bruce O'Donoghue, Isabelle Cooley, Sherry Ferguson, Todd Hallowell, Maxie Pontius, Richard Kuhlman, Lloyd Cleek, Mark Dana, Steve Zurk, Emil Felski, Charmin Talbert, Julie Lander, Janet Moore, Connie Adams, Claudio Jacobells, Hillary Matthews, Jonathan Bouck, Michael Mickens, Aspen Autrey, Brittany Paige Bouck, Louisa Marie, Cindi Vicino",1989-08-02,1998-03-31,124,MCA Universal Home Video,Certified Fresh,91,55,76,49289
Problem Child 2,"This dubious comedy sequel chronicles the further exploits of a sociopathic, mean-spirited and selfish brat and his father. This time though, the monster boy meets his match with an equally terrifying little girl and together the two cause all kinds of malevolent and lowbrow mischief.","Crude, rude, puerile, and pointless, Problem Child 2 represents a cynical nadir in family-marketed entertainment.",PG-13,"Comedy, Kids & Family",Brian Levant,"Scott Alexander, Larry Karaszewski","Michael Oliver, John Ritter, Jack Warden, Laraine Newman, Amy Yasbeck, Ivyann Schwan, Gilbert Gottfried, Paul Willson, Alan Blumenfeld, Valerie McCaffrey, Charlene Tilton, James Tolkan, Martha Quinn, Zach Grenier, Eric Edwards, Krystal Mataras, Tiffany Mataras, Dennis Redfield, Krystle Mataras, Bill Warren, Kristina Simonds, Aaron Vaughn, Denise Lecce, Nancy Duerr, Tom Nowicki, Ric Reitz, Bill Cordell, Hillary Matthews, Bob Small, Danny Gura, Carla Kneeland, Tabetha Thomas, Paul Sutera, Buddy Stoccardo, Jillian Amburgey, Adam Brock, Christopher Oyen, Danny Haneman, Brett Rice, Shaun Padgett, Aimee Deshayes, Tammy Boalo, Danielle Meierhenry, Elaine Klimaszewski, Diane Klimaszewski, Carol French, June Foray, Carrell Myers, Angie Harper, Katie Prestwood, Laura O'Connell, Tim A. Powell, Buffalo Bob Smith",,2004-03-02,91,MCA Universal Home Video,Rotten,7,27,42,26011
Reality Bites,Four recent graduates discover how difficult it is to find a decent job and true love after college.,"Reality Bites may be too slick to fulfill its promise as a profound statement on Generation X, but an appealing ensemble and romantic sizzle make for an entertaining dive into the ennui of youth.",PG-13,"Comedy, Drama, Romance",Ben Stiller,Helen Childress,"Winona Ryder, Ethan Hawke, Ben Stiller, Janeane Garofalo, Steve Zahn, Swoosie Kurtz, Joe Don Baker, John Mahoney, Harry O'Reilly, Susan Norfleet, Renée Zellweger, James Rothenberg, Eric Stuart, Barry Sherman, Chelsea Lagos, Bill Bolender, Jubal Palmer, Marti Greene, John Walsh, Helen Childress, David Pirner, Andy Dick, Keith David, Anne Meara, Kevin Pollak, Amy Stiller, Afton Smith, Pat Crawford Brown, Jeff Kahn, Karen Duffy, Evan Dando, Jeanne Tripplehorn",1993-06-01,1998-07-21,99,MCA Universal Home Video,Fresh,66,56,74,53108
The River Wild,"This thriller filmed on location in Oregon and Montana, features Meryl Streep as a daring, strong mother who must navigate a raging river to save the lives of her husband and son. Streep performed 90% of the river stunts in the film. To celebrate her son's tenth birthday, Gail, a former white water guide, takes him and his dog out West for a rafting trip. Her work-a-holic husband Tom joins them at the last moment. Gail was raised on the river and knows it intimately. They meet three ""fishermen"" who seem inordinately interested in Gail's knowledge of the river. In reality, the men are on the lam after robbing a cattle auction and killing two men. They are hoping to run the river past the treacherous white water stretch, the Gauntlet, and escape. The are led by the charismatic gun-toting Wade who eventually, hijacks the family. After dumping Tom and the dog upon the shore he coerces Gail to attempt the dreaded Gauntlet, which Gail has only run once before, by holding a gun to her son's head. The tension mounts as the spectacular rapids approach. Will they make it?",,PG-13,"Action & Adventure, Drama, Mystery & Suspense",Curtis Hanson,"Denis O'Neill, Gideon Ray, Bruce A. Evans","Meryl Streep, Kevin Bacon, David Strathairn, Joseph Mazzello, John C. Reilly, Benjamin Bratt, Nancy Klopper, Victor H. Galloway, Elizabeth Hoffman, William Lucking, Stephanie Sawyer, Diane Delano, Thomas F. Duffy, Paul Cantelon, Glenn Morshower",1994-09-30,1998-11-01,112,MCA Universal Home Video,Rotten,56,32,51,46902
